epoch,mean_reward,max_reward,loss,n_unique,temp,best_ever
0,0.04988247528672218,0.1840733140707016,3903.10986328125,16,2.0,0.1840733140707016
1,0.07252912223339081,0.21034571528434753,5980.0283203125,32,1.9928571428571429,0.21034571528434753
2,0.06333699822425842,0.15877726674079895,4882.05126953125,48,1.9857142857142858,0.21034571528434753
3,0.05042800307273865,0.24358390271663666,3712.37744140625,64,1.9785714285714286,0.24358390271663666
4,0.06896306574344635,0.2793544828891754,4696.2529296875,80,1.9714285714285715,0.2793544828891754
5,0.050557106733322144,0.14575006067752838,3642.9541015625,96,1.9642857142857142,0.2793544828891754
6,0.0722881406545639,0.2651691734790802,4034.295654296875,112,1.957142857142857,0.2793544828891754
7,0.0612349733710289,0.22481830418109894,3810.891845703125,128,1.95,0.2793544828891754
8,0.06202743947505951,0.17770756781101227,4068.27490234375,144,1.9428571428571428,0.2793544828891754
9,0.07330076396465302,0.24337607622146606,3815.603515625,160,1.9357142857142857,0.2793544828891754
10,0.0773516446352005,0.30017149448394775,3951.935302734375,176,1.9285714285714286,0.30017149448394775
11,0.07256735116243362,0.1746121495962143,3763.60400390625,192,1.9214285714285715,0.30017149448394775
12,0.050710391253232956,0.16748708486557007,3628.67236328125,208,1.9142857142857144,0.30017149448394775
13,0.06467307358980179,0.2601136863231659,3487.78076171875,224,1.907142857142857,0.30017149448394775
14,0.052816953510046005,0.2241775244474411,3336.85546875,240,1.9,0.30017149448394775
15,0.04344183951616287,0.15418387949466705,3099.36474609375,256,1.8928571428571428,0.30017149448394775
16,0.07427099347114563,0.1802479773759842,3518.8701171875,272,1.8857142857142857,0.30017149448394775
17,0.05669068172574043,0.21188732981681824,2958.26611328125,288,1.8785714285714286,0.30017149448394775
18,0.07852679491043091,0.23903293907642365,3050.925048828125,304,1.8714285714285714,0.30017149448394775
19,0.0882616862654686,0.22803892195224762,3159.816162109375,320,1.8642857142857143,0.30017149448394775
20,0.08688078820705414,0.18981322646141052,3109.29052734375,336,1.8571428571428572,0.30017149448394775
21,0.09601287543773651,0.20909473299980164,2775.58544921875,352,1.85,0.30017149448394775
22,0.04695884510874748,0.15750406682491302,2336.66552734375,368,1.842857142857143,0.30017149448394775
23,0.06891240924596786,0.24245958030223846,2371.68701171875,384,1.8357142857142856,0.30017149448394775
24,0.07789412140846252,0.17204204201698303,2170.474365234375,400,1.8285714285714285,0.30017149448394775
25,0.07280023396015167,0.16067898273468018,2234.520263671875,416,1.8214285714285714,0.30017149448394775
26,0.11667933315038681,0.5050190687179565,2160.90185546875,432,1.8142857142857143,0.5050190687179565
27,0.09064430743455887,0.1833852231502533,2127.587646484375,448,1.8071428571428572,0.5050190687179565
28,0.11482574045658112,0.5207942128181458,2019.980224609375,464,1.8,0.5207942128181458
29,0.1377725601196289,0.6659544706344604,1959.377685546875,480,1.792857142857143,0.6659544706344604
30,0.09732445329427719,0.2481910139322281,1784.7445068359375,496,1.7857142857142858,0.6659544706344604
31,0.11902045458555222,0.28541067242622375,1809.3751220703125,512,1.7785714285714285,0.6659544706344604
32,0.05228305608034134,0.2522483468055725,1349.2481689453125,528,1.7714285714285714,0.6659544706344604
33,0.11645890027284622,0.3654751777648926,1644.604736328125,544,1.7642857142857142,0.6659544706344604
34,0.10577403753995895,0.4215817153453827,1412.537353515625,560,1.7571428571428571,0.6659544706344604
35,0.10596778988838196,0.3566230237483978,1285.0634765625,576,1.75,0.6659544706344604
36,0.10333792865276337,0.3000223934650421,1309.97119140625,592,1.7428571428571429,0.6659544706344604
37,0.10730034112930298,0.24872738122940063,1201.0125732421875,608,1.7357142857142858,0.6659544706344604
38,0.07538049668073654,0.18414625525474548,937.90234375,624,1.7285714285714286,0.6659544706344604
39,0.12481173872947693,0.29341137409210205,1203.1917724609375,640,1.7214285714285715,0.6659544706344604
40,0.09219129383563995,0.2746891379356384,849.9735107421875,656,1.7142857142857144,0.6659544706344604
41,0.09598252177238464,0.21818752586841583,808.32177734375,672,1.707142857142857,0.6659544706344604
42,0.14777441322803497,0.3525097072124481,916.3310546875,688,1.7,0.6659544706344604
43,0.12397681176662445,0.360370934009552,823.76123046875,704,1.6928571428571428,0.6659544706344604
44,0.12980474531650543,0.33552178740501404,838.0509033203125,720,1.6857142857142857,0.6659544706344604
45,0.1128489077091217,0.26230815052986145,709.9019775390625,736,1.6785714285714286,0.6659544706344604
46,0.1116439551115036,0.41071927547454834,640.2819213867188,752,1.6714285714285715,0.6659544706344604
47,0.13061940670013428,0.37344422936439514,588.9614868164062,768,1.6642857142857141,0.6659544706344604
48,0.11722975224256516,0.2516206204891205,537.9154663085938,784,1.657142857142857,0.6659544706344604
49,0.13517926633358002,0.47753971815109253,399.3869323730469,800,1.65,0.6659544706344604
50,0.13027743995189667,0.26701927185058594,432.31268310546875,816,1.6428571428571428,0.6659544706344604
51,0.14708247780799866,0.267851322889328,466.6754150390625,832,1.6357142857142857,0.6659544706344604
52,0.148868590593338,0.2597596049308777,360.3142395019531,848,1.6285714285714286,0.6659544706344604
53,0.13650502264499664,0.3537150025367737,269.7454833984375,864,1.6214285714285714,0.6659544706344604
54,0.2445703148841858,0.6464340686798096,366.86480712890625,880,1.6142857142857143,0.6659544706344604
55,0.25243836641311646,0.5503864884376526,305.3626403808594,896,1.6071428571428572,0.6659544706344604
56,0.15340737998485565,0.31409716606140137,289.6665344238281,912,1.6,0.6659544706344604
57,0.2138480842113495,0.49398288130760193,250.6370391845703,928,1.592857142857143,0.6659544706344604
58,0.19602873921394348,0.32764363288879395,188.6823272705078,944,1.5857142857142856,0.6659544706344604
59,0.22525820136070251,0.46656349301338196,206.21066284179688,960,1.5785714285714285,0.6659544706344604
60,0.1469651609659195,0.30900564789772034,147.69418334960938,976,1.5714285714285714,0.6659544706344604
61,0.2504742741584778,0.4763934314250946,156.13702392578125,992,1.5642857142857143,0.6659544706344604
62,0.21378585696220398,0.39204835891723633,129.3794708251953,1008,1.5571428571428572,0.6659544706344604
63,0.19713719189167023,0.43134376406669617,111.11052703857422,1024,1.55,0.6659544706344604
64,0.2098241150379181,0.3741591274738312,113.37543487548828,1040,1.5428571428571427,0.6659544706344604
65,0.24918414652347565,0.6584994792938232,114.49623107910156,1056,1.5357142857142856,0.6659544706344604
66,0.25451594591140747,0.5414211750030518,85.77571105957031,1072,1.5285714285714285,0.6659544706344604
67,0.23342297971248627,0.552138090133667,72.21685028076172,1088,1.5214285714285714,0.6659544706344604
68,0.1672588288784027,0.3695487678050995,243.36048889160156,1104,1.5142857142857142,0.6659544706344604
69,0.24716368317604065,0.4963454008102417,45.2194709777832,1120,1.5071428571428571,0.6659544706344604
70,0.2841474711894989,0.4928453266620636,57.40546417236328,1136,1.5,0.6659544706344604
71,0.3097967803478241,0.8046945333480835,49.30577850341797,1152,1.4928571428571429,0.8046945333480835
72,0.2183971405029297,0.6095033288002014,47.78095626831055,1168,1.4857142857142858,0.8046945333480835
73,0.2228061556816101,0.37960192561149597,14.164039611816406,1184,1.4785714285714286,0.8046945333480835
74,0.2933198809623718,0.5691317319869995,35.17495346069336,1200,1.4714285714285715,0.8046945333480835
75,0.30115634202957153,0.5069019794464111,20.137767791748047,1216,1.4642857142857144,0.8046945333480835
76,0.24953055381774902,0.6280145645141602,15.76254653930664,1232,1.4571428571428573,0.8046945333480835
77,0.2524232566356659,0.554105281829834,32.95919418334961,1248,1.4500000000000002,0.8046945333480835
78,0.2682911157608032,0.4641105830669403,10.644876480102539,1264,1.4428571428571428,0.8046945333480835
79,0.2698526084423065,0.510759711265564,9.436117172241211,1280,1.4357142857142857,0.8046945333480835
80,0.36323362588882446,0.6346630454063416,10.718660354614258,1296,1.4285714285714286,0.8046945333480835
81,0.3505502939224243,0.5759503841400146,16.613521575927734,1312,1.4214285714285713,0.8046945333480835
82,0.4411318004131317,0.6895567774772644,13.028512001037598,1328,1.4142857142857141,0.8046945333480835
83,0.38412272930145264,0.559525728225708,13.278820991516113,1344,1.407142857142857,0.8046945333480835
84,0.33075642585754395,0.6592895984649658,17.57183265686035,1360,1.4,0.8046945333480835
85,0.32437804341316223,0.6248165965080261,10.187275886535645,1376,1.3928571428571428,0.8046945333480835
86,0.30338993668556213,0.562187135219574,10.075064659118652,1392,1.3857142857142857,0.8046945333480835
87,0.32521626353263855,0.8584830164909363,19.66204071044922,1408,1.3785714285714286,0.8584830164909363
88,0.3022310733795166,0.5829124450683594,104.45516204833984,1424,1.3714285714285714,0.8584830164909363
89,0.25744423270225525,0.6173282861709595,21.151256561279297,1440,1.3642857142857143,0.8584830164909363
90,0.3082885146141052,0.5629721283912659,12.402141571044922,1456,1.3571428571428572,0.8584830164909363
91,0.32350078225135803,0.5814114809036255,8.800525665283203,1472,1.35,0.8584830164909363
92,0.3304637670516968,0.719279944896698,13.687400817871094,1488,1.342857142857143,0.8584830164909363
93,0.3675033450126648,0.6455188393592834,7.2379679679870605,1504,1.3357142857142859,0.8584830164909363
94,0.34739935398101807,0.6868646740913391,5.776565074920654,1520,1.3285714285714285,0.8584830164909363
95,0.4542045593261719,0.6589294075965881,4.868746757507324,1536,1.3214285714285714,0.8584830164909363
96,0.41691914200782776,0.6336162090301514,4.125426769256592,1552,1.3142857142857143,0.8584830164909363
97,0.3736467659473419,0.6666054725646973,4.9170379638671875,1568,1.3071428571428572,0.8584830164909363
98,0.43398454785346985,0.7482538819313049,5.012502670288086,1584,1.3,0.8584830164909363
99,0.420646995306015,0.6409746408462524,4.823356628417969,1600,1.292857142857143,0.8584830164909363
100,0.4477803707122803,0.7386378049850464,5.883146286010742,1616,1.2857142857142858,0.8584830164909363
101,0.39110133051872253,0.6290777921676636,3.8364124298095703,1632,1.2785714285714285,0.8584830164909363
102,0.4923316240310669,0.9081243872642517,5.7187347412109375,1648,1.2714285714285714,0.9081243872642517
103,0.4462782144546509,0.7365843057632446,4.324125289916992,1664,1.2642857142857142,0.9081243872642517
104,0.4563888609409332,0.7002237439155579,5.54463005065918,1680,1.2571428571428571,0.9081243872642517
105,0.4503432810306549,0.8421742916107178,3.8750219345092773,1696,1.25,0.9081243872642517
106,0.6043345928192139,1.4075626134872437,4.688973903656006,1712,1.2428571428571429,1.4075626134872437
107,0.5305084586143494,0.8754685521125793,4.232784748077393,1728,1.2357142857142858,1.4075626134872437
108,0.5599874258041382,0.8932509422302246,3.3970139026641846,1744,1.2285714285714286,1.4075626134872437
109,0.5941015481948853,1.2903920412063599,7.383515357971191,1760,1.2214285714285713,1.4075626134872437
110,0.5173438191413879,0.8188848495483398,2.597032070159912,1776,1.2142857142857142,1.4075626134872437
111,0.4670562148094177,0.7773098945617676,5.109213829040527,1792,1.207142857142857,1.4075626134872437
112,0.4571630358695984,0.6044751405715942,3.55593204498291,1808,1.2,1.4075626134872437
113,0.520163357257843,0.9460753798484802,3.2699501514434814,1824,1.1928571428571428,1.4075626134872437
114,0.5614877343177795,1.149506688117981,3.414475440979004,1840,1.1857142857142857,1.4075626134872437
115,0.483723908662796,0.8224338889122009,2.8665146827697754,1856,1.1785714285714284,1.4075626134872437
116,0.4836902916431427,0.8638981580734253,2.5740671157836914,1872,1.1714285714285713,1.4075626134872437
117,0.5171847343444824,0.9129310846328735,4.214065074920654,1888,1.1642857142857141,1.4075626134872437
118,0.5513380169868469,1.0785022974014282,1.6494863033294678,1904,1.157142857142857,1.4075626134872437
119,0.508863627910614,1.1663633584976196,5.004188537597656,1920,1.15,1.4075626134872437
120,0.5297959446907043,0.863768994808197,2.457818031311035,1936,1.1428571428571428,1.4075626134872437
121,0.5477834939956665,0.8368813395500183,2.846959114074707,1952,1.1357142857142857,1.4075626134872437
122,0.5609438419342041,0.8651560544967651,2.2497477531433105,1968,1.1285714285714286,1.4075626134872437
123,0.6011618375778198,0.9340984225273132,4.773547172546387,1984,1.1214285714285714,1.4075626134872437
124,0.5438830256462097,0.9235121607780457,2.2479958534240723,2000,1.1142857142857143,1.4075626134872437
125,0.544644296169281,1.0233758687973022,2.9784421920776367,2016,1.1071428571428572,1.4075626134872437
126,0.49259310960769653,1.1931214332580566,2.1931066513061523,2032,1.1,1.4075626134872437
127,0.6084886789321899,1.0251996517181396,3.2375290393829346,2048,1.092857142857143,1.4075626134872437
128,0.5808296799659729,1.010520577430725,1.9229596853256226,2064,1.0857142857142856,1.4075626134872437
129,0.5162489414215088,1.0034033060073853,6.283401966094971,2080,1.0785714285714285,1.4075626134872437
130,0.5287444591522217,0.9060808420181274,2.026149034500122,2096,1.0714285714285714,1.4075626134872437
131,0.5012803077697754,0.852199912071228,3.561339855194092,2112,1.0642857142857143,1.4075626134872437
132,0.5314957499504089,0.791517436504364,1.948427677154541,2128,1.0571428571428572,1.4075626134872437
133,0.5960631966590881,0.90261310338974,1.552821397781372,2144,1.05,1.4075626134872437
134,0.4898490905761719,0.7218713760375977,2.972914695739746,2160,1.042857142857143,1.4075626134872437
135,0.5482359528541565,1.0843645334243774,0.8776230216026306,2176,1.0357142857142856,1.4075626134872437
136,0.6079071760177612,1.0275696516036987,2.3048717975616455,2192,1.0285714285714285,1.4075626134872437
137,0.6607683897018433,1.2068146467208862,1.7296338081359863,2208,1.0214285714285714,1.4075626134872437
138,0.7117706537246704,1.1038635969161987,2.107679843902588,2224,1.0142857142857142,1.4075626134872437
139,0.7516587376594543,1.1241482496261597,6.262249946594238,2240,1.0071428571428571,1.4075626134872437
140,0.7752257585525513,1.3002991676330566,2.884779214859009,2256,1.0,1.4075626134872437
141,0.6544523239135742,1.191954255104065,1.8329319953918457,2272,0.9928571428571429,1.4075626134872437
142,0.5326765179634094,1.078501582145691,1.2844648361206055,2288,0.9857142857142858,1.4075626134872437
143,0.5453811287879944,0.8034570813179016,2.4560790061950684,2304,0.9785714285714286,1.4075626134872437
